U,factor_norm,model_norm,specs,mean_sharpe,best_sharpe,mean_cagr,worst_drawdown
12ETF,+comm,ElasticNet,3,0.5395196935642836,0.6976858152030614,0.08447153955764901,-0.2604386675819055
12ETF,+comm,Ridge,3,0.5061250670705169,0.5933884893224088,0.09313152093125333,-0.4099089558894442
12ETF,+gold,ElasticNet,3,0.5400435649635158,0.6937310899407279,0.08555939526199063,-0.2906152457524409
12ETF,+gold,Ridge,3,0.46092831726144884,0.5612005524703497,0.08167717924413241,-0.350736784269065
12ETF,+margin,ElasticNet,3,0.5173192313700375,0.7005200055530638,0.0804529719916906,-0.2604386675819047
12ETF,+margin,Ridge,3,0.5142552798694829,0.6199679343762845,0.0903268046987239,-0.3277908913943617
12ETF,+shibor,ElasticNet,3,0.5402729553609634,0.6999456005931006,0.08472774112420313,-0.2604386675819055
12ETF,+shibor,Ridge,3,0.36491129297013236,0.5068529568485679,0.058036159980318226,-0.38045849377089
12ETF,base5,ElasticNet,3,0.04493995425325117,0.2874615077132896,-0.007017045183007567,-0.4227132901710743
12ETF,base5,Ridge,3,0.18721316561941606,0.4689875449391709,0.017857766869763068,-0.4273215380640276
12ETF,pure2,ElasticNet,3,0.5170102101582061,0.6708075372341963,0.08049824276172336,-0.2858280043572248
12ETF,pure2,Ridge,3,0.4745617268748705,0.584715995621641,0.08427522353365503,-0.3399220207294094
6ETF,+comm,ElasticNet,3,0.7726205927859553,0.8747565196155032,0.13696579126638944,-0.2552009412663766
6ETF,+comm,Ridge,3,0.8248024851439112,0.920883918083798,0.16168399991382373,-0.2499930070302459
6ETF,+gold,ElasticNet,3,0.5652468419039011,0.7415876588173052,0.09237307791530026,-0.2761952981576745
6ETF,+gold,Ridge,3,0.8540809788220658,0.968395383759495,0.1687787401577482,-0.2492607023174048
6ETF,+margin,ElasticNet,3,0.7489883295834542,0.8992699795187602,0.12759238150164284,-0.2683782566189819
6ETF,+margin,Ridge,3,0.8620725312652097,1.0470077769224622,0.15796635108079246,-0.2594224799644388
6ETF,+shibor,ElasticNet,3,0.483126970698853,0.6947550407271399,0.0738299691608071,-0.2645571591274118
6ETF,+shibor,Ridge,3,0.832924197938412,0.9803155173320042,0.1640327597134531,-0.3201200442972333
6ETF,base5,ElasticNet,3,0.3140066097906572,0.5440263174068688,0.042710380603088995,-0.36497861026642
6ETF,base5,Ridge,3,0.456560072784621,0.638429699416781,0.07071062220668023,-0.3933073249150191
6ETF,pure2,ElasticNet,3,0.4316067174648411,0.6612246016209438,0.06459353727030477,-0.2764846408185681
6ETF,pure2,Ridge,3,0.7751310628870952,0.9179338734963844,0.1493790007787237,-0.2950914728549506
8ETF,base5,ElasticNet,3,-0.14923205312172863,0.0583965385507721,-0.0392636153418278,-0.3872112902857603
8ETF,base5,Ridge,3,-0.016155376289467328,0.1435678594016384,-0.018502913863962935,-0.387475958590037
8ETF,pure2,ElasticNet,3,-0.10540342432452209,0.2362311996169699,-0.03572605676629647,-0.3925643371617479
8ETF,pure2,Ridge,3,0.1577799771232211,0.4381751514981032,0.012915392583788364,-0.3870706500876392
