U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,wall_norm,model_norm,factor_norm
12ETF,w2018,+comm,ElasticNet(a=0.01),12.0,3.0,0.6976858152030614,0.1193606170879129,-0.2604386675819041,0.4583060503117331,0.5888888888888889,76.0,-0.5376151943034048,0.5938590479423518,0.7106384406765113,-0.1107258490790226,1.3480127013460566,v3,ElasticNet,2018,ElasticNet,+comm
12ETF,w2018,+comm,Ridge(a=10),12.0,3.0,0.5933884893224088,0.1164433716749908,-0.4099089558894442,0.2840713041322195,0.4888888888888889,76.0,-1.0881891390009215,0.6676030226594881,0.768885503177422,0.0437820908933906,1.0947799250906012,v3,Ridge,2018,Ridge,+comm
12ETF,w2018,+gold,ElasticNet(a=0.01),12.0,3.0,0.6937310899407279,0.120537216951533,-0.2906152457524409,0.4147656350218188,0.5777777777777777,76.0,-0.5376151943034072,0.5938590479423533,0.6937867731595586,-0.1107258490790295,1.335007945227611,v3,ElasticNet,2018,ElasticNet,+gold
12ETF,w2018,+gold,Ridge(a=10),12.0,3.0,0.5612005524703497,0.1074084163082791,-0.350736784269065,0.3062365315691598,0.4777777777777778,76.0,-1.1347970387150936,0.8096678829821989,0.5400641655563089,0.1767439146748494,1.1546979243815505,v3,Ridge,2018,Ridge,+gold
12ETF,w2018,+margin,ElasticNet(a=0.01),12.0,3.0,0.7005200055530638,0.1202472051814609,-0.2604386675819039,0.4617102609912756,0.5888888888888889,37.0,-0.537615194303403,0.5938590479423476,0.7106384406765127,-0.1107258490790275,1.3530330164147248,v3,ElasticNet,2018,ElasticNet,+margin
12ETF,w2018,+margin,Ridge(a=10),12.0,3.0,0.6199679343762845,0.1183445378813652,-0.3277908913943609,0.3610366882921907,0.4777777777777778,37.0,-0.8931985728263878,1.0444902380143617,0.4475459170512718,0.1270818658068372,1.19489493724789,v3,Ridge,2018,Ridge,+margin
12ETF,w2018,+shibor,ElasticNet(a=0.01),12.0,3.0,0.6999456005931006,0.1201292217875753,-0.2604386675819042,0.4612572430313038,0.6,76.0,-0.5376151943034037,0.5938590479423533,0.7106384406765142,-0.1107258490790216,1.3511983862834385,v3,ElasticNet,2018,ElasticNet,+shibor
12ETF,w2018,+shibor,Ridge(a=10),12.0,3.0,0.5068529568485679,0.0924033726255035,-0.3804584937708886,0.2428737277216597,0.4777777777777778,76.0,-1.1347970387150956,0.6086320894937735,0.5753722141166179,0.0409179114943869,1.170949546501007,v3,Ridge,2018,Ridge,+shibor
12ETF,w2018,base5,ElasticNet(a=0.01),12.0,5.0,0.0732486562108241,-0.0018029191081486,-0.4227132901710742,-0.0042651110103943,0.4777777777777778,86.0,-1.0476481656222387,0.8058587187409277,-1.061562990380552,-0.3406421117630883,1.028679729213536,v3,ElasticNet,2018,ElasticNet,base5
12ETF,w2018,base5,Ridge(a=10),12.0,5.0,0.1739553123485347,0.0151061124112141,-0.4273215380640266,0.0353506927819556,0.4888888888888889,86.0,-1.0002845971846253,0.805858718740925,-1.061562990380552,-0.4783545549703264,1.028679729213536,v3,Ridge,2018,Ridge,base5
12ETF,w2018,pure2,ElasticNet(a=0.01),12.0,2.0,0.6708075372341963,0.1145733255624579,-0.2858280043572241,0.4008470962112784,0.5777777777777777,90.0,-0.5376151943034024,0.5938590479423532,0.4619638047408741,-0.1107258490790285,1.356009821723371,v3,ElasticNet,2018,ElasticNet,pure2
12ETF,w2018,pure2,Ridge(a=10),12.0,2.0,0.584715995621641,0.1124828323789717,-0.339922020729408,0.3309077538948637,0.4777777777777778,90.0,-1.2023688032836843,0.7970024246706794,0.6379178288041163,0.1823059727438886,1.2087179838326338,v3,Ridge,2018,Ridge,pure2
12ETF,w2020,+comm,ElasticNet(a=0.01),12.0,3.0,0.3905765321040085,0.0544342211525965,-0.2604386675819055,0.2090097513476085,0.5223880597014925,56.0,-0.5376151943034042,0.5938590479423522,0.666797625537823,-0.1107258490790304,,v3,ElasticNet,2020,ElasticNet,+comm
12ETF,w2020,+comm,Ridge(a=10),12.0,3.0,0.3771132127700502,0.0604347693400022,-0.4099089558894438,0.1474346155937662,0.4925373134328358,56.0,-1.0881891390009253,0.6676030226594883,0.8939034145967079,0.043782090893398,,v3,Ridge,2020,Ridge,+comm
12ETF,w2020,+gold,ElasticNet(a=0.01),12.0,3.0,0.3961028715640384,0.0565211884020013,-0.2906152457524398,0.1944880360824183,0.5074626865671642,56.0,-0.5376151943034089,0.5938590479423517,0.6542755264278284,-0.1107258490790158,,v3,ElasticNet,2020,ElasticNet,+gold
12ETF,w2020,+gold,Ridge(a=10),12.0,3.0,0.3060635933634781,0.0437739378125972,-0.3507367842690645,0.1248056656042567,0.4626865671641791,56.0,-1.1347970387150894,0.809667882982197,0.6564812503823302,0.176743914674853,,v3,Ridge,2020,Ridge,+gold
12ETF,w2020,+margin,ElasticNet(a=0.01),12.0,3.0,0.3211409551712679,0.0414919303611733,-0.2604386675819047,0.1593155530490674,0.5074626865671642,20.0,-0.5376151943034054,0.5938590479423517,0.2475811212715772,-0.1107258490790275,,v3,ElasticNet,2020,ElasticNet,+margin
12ETF,w2020,+margin,Ridge(a=10),12.0,3.0,0.3343407237572353,0.0485807546556591,-0.3277908913943617,0.1482065424362636,0.4626865671641791,20.0,-0.8931985728263874,1.0444902380143557,0.3930063328738631,0.127081865806832,,v3,Ridge,2020,Ridge,+margin
12ETF,w2020,+shibor,ElasticNet(a=0.01),12.0,3.0,0.3905765321040085,0.0544342211525965,-0.2604386675819055,0.2090097513476085,0.5223880597014925,56.0,-0.5376151943034042,0.5938590479423522,0.666797625537823,-0.1107258490790304,,v3,ElasticNet,2020,ElasticNet,+shibor
12ETF,w2020,+shibor,Ridge(a=10),12.0,3.0,0.2166823300372025,0.0236719504520674,-0.38045849377089,0.0622195346920618,0.4776119402985074,56.0,-1.1347970387150954,0.6086320894937665,0.6940322442344706,0.0409179114943839,,v3,Ridge,2020,Ridge,+shibor
12ETF,w2020,base5,ElasticNet(a=0.01),12.0,5.0,-0.2258903011643602,-0.0533260696688571,-0.4227132901710743,-0.1261518644168386,0.4477611940298507,66.0,-1.0476481656222378,0.8058587187409272,-1.133861384722392,-0.3406421117630974,,v3,ElasticNet,2020,ElasticNet,base5
12ETF,w2020,base5,Ridge(a=10),12.0,5.0,-0.0813033604294574,-0.0313366021412165,-0.4273215380640276,-0.0733326063628491,0.4626865671641791,66.0,-1.0002845971846333,0.80585871874093,-1.133861384722392,-0.4783545549703226,,v3,Ridge,2020,Ridge,base5
12ETF,w2020,pure2,ElasticNet(a=0.01),12.0,2.0,0.349926359854641,0.0473016222902746,-0.2858280043572248,0.1654898105475963,0.5074626865671642,66.0,-0.5376151943034078,0.5938590479423466,0.4159183769199972,-0.1107258490790295,,v3,ElasticNet,2020,ElasticNet,pure2
12ETF,w2020,pure2,Ridge(a=10),12.0,2.0,0.3162715325306746,0.0458360945820923,-0.3399220207294094,0.1348429692308154,0.4626865671641791,66.0,-1.2023688032836868,0.797002424670678,0.759597848205007,0.1823059727438806,,v3,Ridge,2020,Ridge,pure2
12ETF,w2022,+comm,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,35.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,2022,ElasticNet,+comm
12ETF,w2022,+comm,Ridge(a=10),12.0,3.0,0.5478734991190916,0.102516421778767,-0.2737781284513109,0.3744507362902758,0.5238095238095238,35.0,,0.6676030226594921,,-0.3886620986511703,,v3,Ridge,2022,Ridge,+comm
12ETF,w2022,+gold,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,35.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,2022,ElasticNet,+gold
12ETF,w2022,+gold,Ridge(a=10),12.0,3.0,0.5155208059505187,0.0938491836115209,-0.1957842432630315,0.4793500337278764,0.4761904761904761,35.0,,0.8096678829822002,,-0.2312833075607151,,v3,Ridge,2022,Ridge,+gold
12ETF,w2022,+margin,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,5.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,2022,ElasticNet,+margin
12ETF,w2022,+margin,Ridge(a=10),12.0,3.0,0.588457181474929,0.1040551215591474,-0.2036917464061338,0.5108460376773223,0.4523809523809524,5.0,,1.0444902380143557,,-0.2995710528818821,,v3,Ridge,2022,Ridge,+margin
12ETF,w2022,+shibor,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,35.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,2022,ElasticNet,+shibor
12ETF,w2022,+shibor,Ridge(a=10),12.0,3.0,0.3711985920246267,0.0580331568633838,-0.2305057045579495,0.2517645147857684,0.4761904761904761,35.0,,0.6086320894937678,,-0.3841185645860724,,v3,Ridge,2022,Ridge,+shibor
12ETF,w2022,base5,ElasticNet(a=0.01),12.0,5.0,0.2874615077132896,0.034077853227983,-0.1628461093748093,0.2092641534932155,0.5,42.0,,0.8058587187409315,,-0.7606789851665479,,v3,ElasticNet,2022,ElasticNet,base5
12ETF,w2022,base5,Ridge(a=10),12.0,5.0,0.4689875449391709,0.0698037903392916,-0.1628461093748097,0.4286488059633644,0.5238095238095238,42.0,,0.8058587187409291,,-0.8830690623112173,,v3,Ridge,2022,Ridge,base5
12ETF,w2022,pure2,ElasticNet(a=0.01),12.0,2.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,42.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,2022,ElasticNet,pure2
12ETF,w2022,pure2,Ridge(a=10),12.0,2.0,0.5226976524722959,0.0945067436399011,-0.1946126508454989,0.4856145950908873,0.4761904761904761,42.0,,0.7970024246706758,,-0.2260311519181352,,v3,Ridge,2022,Ridge,pure2
6ETF,w2018,+comm,ElasticNet(a=0.01),6.0,3.0,0.8747565196155032,0.16398282622617,-0.2552009412663766,0.6425635634901757,0.5666666666666667,76.0,-0.2868795132024007,0.8515635214693971,0.4380390544836088,-0.4609600734866847,1.5717698701313854,v3,ElasticNet,2018,ElasticNet,+comm
6ETF,w2018,+comm,Ridge(a=10),6.0,3.0,0.813786971878461,0.1631440967736919,-0.2499930070302448,0.6525946413931262,0.6,76.0,-0.4389726460981394,0.5496474682240127,0.9741089443678134,0.2696951668797405,1.0143189053741248,v3,Ridge,2018,Ridge,+comm
6ETF,w2018,+gold,ElasticNet(a=0.01),6.0,3.0,0.7415876588173052,0.1313742290706476,-0.2761952981576745,0.4756570077295403,0.5555555555555556,76.0,-0.5081250106774204,0.92971848166004,0.4380390544836088,-0.4609600734866645,1.5717698701313854,v3,ElasticNet,2018,ElasticNet,+gold
6ETF,w2018,+gold,Ridge(a=10),6.0,3.0,0.8256377359876889,0.1660649694057461,-0.2492607023174048,0.6662300469421027,0.6111111111111112,76.0,-0.4389726460981466,0.5833862751305868,0.9741089443678128,0.5011313428570641,0.982667594165696,v3,Ridge,2018,Ridge,+gold
6ETF,w2018,+margin,ElasticNet(a=0.01),6.0,3.0,0.8710113966320208,0.1584191955688592,-0.2683782566189796,0.5902832724402453,0.5888888888888889,37.0,-0.5286660841171265,1.0891589675018651,0.4380390544836088,-0.1564746041550203,1.5717698701313854,v3,ElasticNet,2018,ElasticNet,+margin
6ETF,w2018,+margin,Ridge(a=10),6.0,3.0,0.8545110338868946,0.1661129571108182,-0.2594224799644388,0.6403182836490835,0.6222222222222222,37.0,-0.6166600007200597,1.0891589675018671,1.17326561810553,0.6086686404430663,1.0152904552061326,v3,Ridge,2018,Ridge,+margin
6ETF,w2018,+shibor,ElasticNet(a=0.01),6.0,3.0,0.6947550407271399,0.11860666795072,-0.2645571591274118,0.4483215209216795,0.5555555555555556,76.0,-0.5081250106774204,0.8172885762829609,0.4380390544836088,-0.073616539425115,1.5717698701313854,v3,ElasticNet,2018,ElasticNet,+shibor
6ETF,w2018,+shibor,Ridge(a=10),6.0,3.0,0.8042762081176459,0.1593123479120539,-0.3201200442972333,0.497664394186237,0.5666666666666667,76.0,-0.5305214991057057,0.8441887367380722,0.8685681988133055,-0.0071612951431083,1.018281627907041,v3,Ridge,2018,Ridge,+shibor
6ETF,w2018,base5,ElasticNet(a=0.01),6.0,5.0,0.5440263174068688,0.0897047923837019,-0.36497861026642,0.2457809577339917,0.5,90.0,-0.548807764732194,0.7632643493763233,-0.4110039962038393,-0.4609600734866763,1.6473279640484126,v3,ElasticNet,2018,ElasticNet,base5
6ETF,w2018,base5,Ridge(a=10),6.0,5.0,0.5962819264055991,0.1024340865953117,-0.3933073249150187,0.2604428651753294,0.5555555555555556,90.0,-1.0483017479358956,0.968488491518406,-0.3987263074895571,-0.1441536436734576,1.6473279640484126,v3,Ridge,2018,Ridge,base5
6ETF,w2018,pure2,ElasticNet(a=0.01),6.0,2.0,0.6612246016209438,0.1121804798515619,-0.276484640818568,0.4057385593624201,0.5444444444444444,90.0,-0.5077226248801087,0.8346013559267541,0.4380390544836088,-0.4609600734866801,1.5717698701313854,v3,ElasticNet,2018,ElasticNet,pure2
6ETF,w2018,pure2,Ridge(a=10),6.0,2.0,0.724873743285249,0.1411051596332355,-0.2950914728549506,0.4781743039474219,0.5666666666666667,90.0,-0.7060035745309955,0.5496474682240122,0.9741089443678086,0.2465627150593871,0.8412459761175589,v3,Ridge,2018,Ridge,pure2
6ETF,w2020,+comm,ElasticNet(a=0.01),6.0,3.0,0.5786832928185657,0.0957830103521337,-0.2552009412663762,0.3753238913494304,0.5074626865671642,56.0,-0.2868795132024002,0.851563521469396,0.4129107937691641,-0.4609600734866791,,v3,ElasticNet,2020,ElasticNet,+comm
6ETF,w2020,+comm,Ridge(a=10),6.0,3.0,0.7397365654694745,0.1430274100893196,-0.2499930070302459,0.5721256437865686,0.582089552238806,56.0,-0.4389726460981475,0.5496474682240111,1.0588944285857924,0.2696951668797413,,v3,Ridge,2020,Ridge,+comm
6ETF,w2020,+gold,ElasticNet(a=0.01),6.0,3.0,0.3795901578732263,0.0540443020034884,-0.2761952981576737,0.1956742289386683,0.4925373134328358,56.0,-0.5081250106774174,0.929718481660036,0.4129107937691641,-0.4609600734866799,,v3,ElasticNet,2020,ElasticNet,+gold
6ETF,w2020,+gold,Ridge(a=10),6.0,3.0,0.7682098167190136,0.1499686385481713,-0.2492607023174047,0.6016537591120303,0.5970149253731343,56.0,-0.4389726460981475,0.5833862751305867,1.0588944285857924,0.5011313428570614,,v3,Ridge,2020,Ridge,+gold
6ETF,w2020,+margin,ElasticNet(a=0.01),6.0,3.0,0.4766836125995815,0.071747701276567,-0.2683782566189819,0.2673379810288716,0.5223880597014925,20.0,-0.5286660841171275,1.0891589675018674,-0.0987607404269198,-0.1564746041550203,,v3,ElasticNet,2020,ElasticNet,+margin
6ETF,w2020,+margin,Ridge(a=10),6.0,3.0,0.6846987829862721,0.1222472738486575,-0.2594224799644388,0.4712285298691732,0.6119402985074627,20.0,-0.6166600007200571,1.0891589675018618,0.7469842445041109,0.6086686404430649,,v3,Ridge,2020,Ridge,+margin
6ETF,w2020,+shibor,ElasticNet(a=0.01),6.0,3.0,0.2991593984593303,0.0378210572534511,-0.2645571591274114,0.1429598706691451,0.4925373134328358,56.0,-0.5081250106774174,0.8172885762829628,0.4129107937691641,-0.0736165394251258,,v3,ElasticNet,2020,ElasticNet,+shibor
6ETF,w2020,+shibor,Ridge(a=10),6.0,3.0,0.7141808683655857,0.1374330396642187,-0.3201200442972322,0.4293171955724579,0.5223880597014925,56.0,-0.5305214991057079,0.8441887367380666,0.8596733496939498,-0.0071612951431041,,v3,Ridge,2020,Ridge,+shibor
