factor,dimension,formula,source,intuition,status,coverage,ic_months,mean_spearman_ic,median_spearman_ic,ic_std,ic_positive_share,bootstrap_ci_low,bootstrap_ci_high,max_abs_corr_with_existing,subperiod_sign_matches,median_abs_z_change,ic_2018_2020,ic_2021_2022,ic_2023_2024,ic_2025_2026
nonzero_return_share_63,liquidity,"1-mean(r==0,63)",adjusted_close,price update frequency,candidate,0.9624060150375939,128,0.07067824404622247,0.04416797030059533,0.39684867926341505,0.5234375,-0.0034675628273395705,0.1489096708660904,0.37518535216781934,3,0.42828924563254944,0.11373912318686322,0.10548214642109872,-0.004408454906002945,0.005482536119413221
distance_ma_20,trend,P_t/MA20_t-1,adjusted_close,short trend distance,candidate,0.9774436090225563,130,0.046593406593406606,0.08571428571428573,0.5289186667224439,0.5615384615384615,-0.0501098901098901,0.13808791208791202,0.3179859302229394,4,1.229212470257842,0.10793650793650797,0.03571428571428574,0.13333333333333336,0.2033613445378151
amount_surprise_120,activity,"zscore(log amount,120)",AKShare Sina amount,current activity surprise,candidate,0.899749373433584,122,0.03372365339578454,0.05714285714285715,0.49075124781104823,0.5409836065573771,-0.05763466042154567,0.13303278688524592,0.11081546071514085,3,1.0362182137007778,0.07102040816326534,-0.1380952380952381,0.07857142857142856,0.06218487394957983
close_location_20,intraday,"mean(2*(close-low)/(high-low)-1,20)",AKShare Sina OHLC,close location value,candidate,0.893483709273183,126,-0.04104308390022675,-0.028571428571428574,0.4806593570893,0.48412698412698413,-0.11622448979591836,0.046377551020408164,0.2846161538526418,3,0.9647324984396634,0.007936507936507945,-0.08035714285714286,-0.06666666666666665,-0.001680672268907557
reversal_5,reversal,-(P_t/P_{t-5}-1),adjusted_close,very short reversal,candidate,0.9774436090225563,130,-0.048680522334356185,-0.028571428571428574,0.5575593208734619,0.4846153846153846,-0.12912553746206304,0.032206820394332376,0.19305284061342,4,1.2666017826656397,-0.05555555555555558,-0.10416235312061987,-0.02142857142857142,-0.1899159663865546
mom_252,existing,existing baseline,adjusted_close,current model factor,existing,0.8872180451127819,118,0.09346246973365618,0.05714285714285715,0.47280350085385764,0.559322033898305,0.03387409200968524,0.16949152542372883,1.0,4,0.2547791590029208,0.13968253968253966,0.09761904761904765,0.09047619047619049,0.1092436974789916
mom_126,existing,existing baseline,adjusted_close,current model factor,existing,0.9323308270676691,124,0.08433179723502306,0.14285714285714288,0.5033269745614511,0.5806451612903226,-0.011082949308755747,0.18663594470046083,1.0,4,0.42620576011593503,0.23650793650793656,0.05476190476190476,0.07619047619047618,0.16638655462184873
mom_63,existing,existing baseline,adjusted_close,current model factor,existing,0.9548872180451128,127,0.050168728908886386,0.08571428571428573,0.48089804415134124,0.5590551181102362,-0.03623172103487066,0.13656917885264347,1.0,4,0.6084641216226053,0.19365079365079366,0.011904761904761918,0.009523809523809523,0.12605042016806725
low_vol_63,existing,existing baseline,adjusted_close,current model factor,existing,0.9548872180451128,127,-0.020472440944881907,0.028571428571428574,0.4721858500676932,0.5039370078740157,-0.09968503937007875,0.05376827896512934,1.0,3,0.24929246733190535,-0.019047619047619053,-0.10952380952380954,0.08333333333333333,-0.08571428571428572
trend_quality_126,existing,existing baseline,adjusted_close,current model factor,existing,0.16666666666666666,5,-0.039999999999999994,-0.09999999999999999,0.49799598391954925,0.2,,,1.0,1,1.1102230246251565e-16,,,,-0.039999999999999994
signed_amount_balance_20,price_volume,"sum(sign(r)*amount)/sum(amount),20",price+AKShare amount,buying-pressure proxy,insufficient_coverage,0.7418546365914787,99,0.04329004329004329,0.028571428571428574,0.46364478993590863,0.5050505050505051,-0.040692640692640676,0.12207792207792208,0.23043134136804264,2,1.1598460293817474,0.16043956043956045,0.08311688311688313,-0.04880952380952381,-0.025210084033613443
price_volume_corr_63,price_volume,"corr(r,delta log amount),63",price+AKShare amount,price-volume confirmation,insufficient_coverage,0.5614035087719298,76,-0.01691729323308271,-0.014285714285714287,0.40371546878346387,0.4868421052631579,-0.1154699248120301,0.0680545112781955,0.2255819268812794,1,0.6248371231512737,0.02857142857142856,0.011764705882352944,-0.1273809523809524,0.008403361344537825
liquidity_63,liquidity,"-mean(abs(r)/amount,63)",price+AKShare amount,Amihud-style liquidity,insufficient_coverage,0.5614035087719298,76,-0.029699248120300756,-0.05714285714285715,0.45855593006234857,0.4342105263157895,-0.12332706766917294,0.0677255639097744,0.361267071260003,2,0.05865397200307705,0.15047619047619049,0.005042016806722684,-0.03214285714285716,-0.22689075630252103
turnover_mean_20,turnover,"mean(turnover_rate,20)",AKShare Eastmoney,trading intensity,insufficient_coverage,0.0,0,,,,,,,,0,,,,,
turnover_acceleration_20_120,turnover,"log(mean(turnover,20)/mean(turnover,120))",AKShare Eastmoney,turnover acceleration,insufficient_coverage,0.0,0,,,,,,,,0,,,,,
distance_ma_200,trend,P_t/MA200_t-1,adjusted_close,long trend distance,redundant,0.9097744360902256,121,0.08571428571428572,0.028571428571428574,0.49111839602234886,0.5289256198347108,0.0063046044864226705,0.17691853600944507,0.8121001288151477,4,0.3520248307615279,0.1920634920634921,0.04761904761904764,0.0857142857142857,0.19327731092436976
skip_recent_mom_252_21,trend,P_{t-21}/P_{t-252}-1,adjusted_close,12-1 style momentum,redundant,0.8872180451127819,118,0.0808716707021792,0.08571428571428573,0.46594554562504203,0.576271186440678,0.01743341404358354,0.16320823244552063,0.9458312552110809,4,0.24942149703937538,0.14603174603174607,0.12619047619047621,0.08571428571428573,0.0319327731092437
trend_efficiency_63,trend,log price change / sum absolute daily changes,adjusted_close,directional efficiency,redundant,0.9548872180451128,127,0.0483689538807649,0.08571428571428573,0.48387690102138775,0.5196850393700787,-0.025883014623172107,0.12262092238470192,0.8860026107894307,3,0.5770366796361003,0.16825396825396827,-0.019047619047619053,0.01190476190476191,0.0957983193277311
low_downside_vol_63,risk,"-std(min(r,0),63)*sqrt(252)",adjusted_close,downside risk,redundant,0.9548872180451128,127,0.0033745781777277783,0.08571428571428573,0.47179761784318636,0.5590551181102362,-0.07627671541057371,0.07762654668166478,0.8688496032091931,2,0.2873124972729772,0.07142857142857145,-0.09999999999999999,0.0738095238095238,-0.13277310924369748
