period,start,end,sample_days,rebalance_mode,cost_bps,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover
full_walk_forward,2020-10-12,2026-06-18,1355,monthly,0,0.2126265132910481,0.222531310206867,0.978084226223192,-0.21468337192839682,0.9904191059658093,0.6231884057971014,6.663441014429135
development,2020-10-12,2022-12-30,540,monthly,0,0.1681614264418574,0.25355330530592496,0.7404058506830018,-0.21468337192839682,0.7832997261564539,0.5925925925925926,7.303138092605188
seen_holdout,2023-01-03,2026-06-18,815,monthly,0,0.24301633245001786,0.19949327156292188,1.1904160534675943,-0.1297408995820193,1.8730896211829362,0.6428571428571429,6.2395926436131
full_walk_forward,2020-10-12,2026-06-18,1355,monthly,15,0.20063677812507597,0.2222974154658024,0.9341503246780601,-0.21870128814308676,0.9174009893979592,0.6086956521739131,6.663441014429135
development,2020-10-12,2022-12-30,540,monthly,15,0.1555245401488281,0.2532686277966729,0.6979847646647009,-0.21870128814308676,0.7111276822799285,0.5925925925925926,7.303138092605188
seen_holdout,2023-01-03,2026-06-18,815,monthly,15,0.23149294770122442,0.19929822631687621,1.1446193389556323,-0.13231873587298304,1.7495099705565647,0.6190476190476191,6.2395926436131
full_walk_forward,2020-10-12,2026-06-18,1355,monthly,30,0.18874863288461863,0.22212633351813046,0.8898721649979218,-0.23007272424920044,0.8203868298624476,0.5942028985507246,6.663441014429135
development,2020-10-12,2022-12-30,540,monthly,30,0.14300545810389886,0.2530480337133348,0.6553022127749747,-0.22270571695974317,0.6421274678357218,0.5925925925925926,7.303138092605188
seen_holdout,2023-01-03,2026-06-18,815,monthly,30,0.22006082060575527,0.19916577118245551,1.0983876084612265,-0.13489309821765338,1.6313719790962296,0.5952380952380952,6.2395926436131
full_walk_forward,2021-02-24,2026-06-18,1265,10d,0,0.1639084367870347,0.22066275837783506,0.7983444911392068,-0.25511230847121624,0.6424952122822727,0.5846153846153846,10.760628251101826
