strategy,train_mode,cost_bps,period,start,end,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover,mean_oos_ic,median_oos_ic,oos_ic_months,oos_ic_positive_share
legacy_monthly_ridge5,rolling_8y,15,full,2020-06-22,2026-06-18,0.20304016523130475,0.22861572038346853,0.9233392934909476,-0.24035543523769964,0.8447496310225232,0.589041095890411,6.379552775084287,0.05674044265593561,0.14285714285714288,71,0.5492957746478874
legacy_monthly_ridge5,rolling_8y,15,development,2020-06-22,2022-12-30,0.11055473613123135,0.2524851113745047,0.5422532318695814,-0.24035543523769964,0.45996353700883935,0.5483870967741935,6.9161132951610815,0.04952380952380952,0.05714285714285715,30,0.5
legacy_monthly_ridge5,rolling_8y,15,seen_post_2023,2023-01-03,2026-06-18,0.27776935292356564,0.2089318540896229,1.2778062672632324,-0.16286635464030008,1.7055048204218457,0.6190476190476191,5.975321904744223,0.062020905923344936,0.14285714285714288,41,0.5853658536585366
legacy_monthly_ridge5,rolling_8y,15,ytd_2026,2026-01-05,2026-06-18,0.5086396001889943,0.24233844464595625,1.8190883129354543,-0.12160015699693316,4.182886048426916,0.8333333333333334,3.913706661508346,0.2342857142857143,0.3714285714285715,5,0.6
ridge5_quarterly,rolling_8y,15,full,2020-06-22,2026-06-18,0.20304016523130475,0.22861572038346853,0.9233392934909476,-0.24035543523769964,0.8447496310225232,0.589041095890411,6.379552775084287,0.06559356136820928,0.14285714285714288,71,0.5492957746478874
ridge5_quarterly,rolling_8y,15,development,2020-06-22,2022-12-30,0.11055473613123135,0.2524851113745047,0.5422532318695814,-0.24035543523769964,0.45996353700883935,0.5483870967741935,6.9161132951610815,0.06285714285714283,0.08571428571428573,30,0.5333333333333333
ridge5_quarterly,rolling_8y,15,seen_post_2023,2023-01-03,2026-06-18,0.27776935292356564,0.2089318540896229,1.2778062672632324,-0.16286635464030008,1.7055048204218457,0.6190476190476191,5.975321904744223,0.06759581881533101,0.14285714285714288,41,0.5609756097560976
ridge5_quarterly,rolling_8y,15,ytd_2026,2026-01-05,2026-06-18,0.5086396001889943,0.24233844464595625,1.8190883129354543,-0.12160015699693316,4.182886048426916,0.8333333333333334,3.913706661508346,0.21142857142857144,0.3714285714285715,5,0.6
stability_lasso_ridge,rolling_8y,15,full,2020-06-22,2026-06-18,0.20529275986831919,0.22683844957786845,0.9369311521327164,-0.254759522870607,0.8058295821687023,0.589041095890411,8.468370773180357,0.024547283702213266,0.028571428571428574,71,0.5492957746478874
stability_lasso_ridge,rolling_8y,15,development,2020-06-22,2022-12-30,0.1323820165680234,0.24889800687908112,0.6244981973901461,-0.24035543523769898,0.5507760473030472,0.6129032258064516,8.917248716959831,0.022857142857142857,0.028571428571428574,30,0.5666666666666667
stability_lasso_ridge,rolling_8y,15,seen_post_2023,2023-01-03,2026-06-18,0.2633063414105121,0.20880290588025863,1.223864212230387,-0.16135039514953187,1.6318915188679417,0.5714285714285714,8.130197696517051,0.025783972125435546,0.08571428571428573,41,0.5365853658536586
stability_lasso_ridge,rolling_8y,15,ytd_2026,2026-01-05,2026-06-18,0.5884263919063686,0.24241794720391194,2.031544084172346,-0.1216001569969335,4.839026580543045,0.8333333333333334,3.9353659325248698,0.14285714285714288,0.08571428571428573,5,0.8
elastic_net,rolling_8y,15,full,2020-06-22,2026-06-18,0.21911697525335927,0.22676451996805183,0.9875276004207599,-0.2403554352376993,0.9116372801666154,0.6301369863013698,8.130748048679349,0.07766599597585512,0.08571428571428573,71,0.5492957746478874
elastic_net,rolling_8y,15,development,2020-06-22,2022-12-30,0.15906500281624725,0.25006953664981324,0.7159302964801776,-0.2403554352376993,0.6617907461045766,0.6451612903225806,8.665535059128615,0.05714285714285715,0.14285714285714288,30,0.5666666666666667
elastic_net,rolling_8y,15,seen_post_2023,2023-01-03,2026-06-18,0.26640492363133683,0.20762017805871777,1.2415249777045265,-0.1522019387089264,1.7503385692137219,0.6190476190476191,7.7278532947948735,0.09268292682926826,0.08571428571428573,41,0.5365853658536586
elastic_net,rolling_8y,15,ytd_2026,2026-01-05,2026-06-18,0.5884263919063686,0.24241794720391194,2.031544084172346,-0.1216001569969335,4.839026580543045,0.8333333333333334,3.9353659325248698,0.17714285714285713,0.08571428571428573,5,0.6
