phase,path,suffix,size,modified
10_其他可审计文件,src/plot_direction_scores.py,.py,2891,2026-06-21 21:45:11
10_其他可审计文件,assets/direction_scores.png,.png,128123,2026-06-21 21:45:22
00_可行性与课程准备,research_feasibility_report.html,.html,22961,2026-06-21 22:02:27
00_可行性与课程准备,source_notes.md,.md,3399,2026-06-21 22:03:53
01_基线MVP,mvp/config.json,.json,322,2026-06-21 22:39:42
01_基线MVP,mvp/src/__init__.py,.py,49,2026-06-21 22:39:42
01_基线MVP,mvp/data/raw/yahoo/XLB.json,.json,599525,2026-06-21 22:40:13
01_基线MVP,mvp/data/raw/yahoo/XLE.json,.json,597821,2026-06-21 22:40:15
01_基线MVP,mvp/data/raw/yahoo/XLF.json,.json,608813,2026-06-21 22:40:17
01_基线MVP,mvp/data/raw/yahoo/XLI.json,.json,591758,2026-06-21 22:40:19
01_基线MVP,mvp/data/raw/yahoo/XLK.json,.json,597008,2026-06-21 22:40:21
01_基线MVP,mvp/data/raw/yahoo/XLP.json,.json,591250,2026-06-21 22:40:24
01_基线MVP,mvp/data/raw/yahoo/XLV.json,.json,592557,2026-06-21 22:40:26
01_基线MVP,mvp/data/raw/yahoo/XLY.json,.json,595050,2026-06-21 22:40:28
01_基线MVP,mvp/data/raw/yahoo/XLU.json,.json,599984,2026-06-21 22:40:30
01_基线MVP,mvp/data/raw/yahoo/SPY.json,.json,599161,2026-06-21 22:40:32
10_其他可审计文件,mvp_cn/tests/test_china_adapter.py,.py,1005,2026-06-21 22:56:20
10_其他可审计文件,mvp_cn/data/raw/sina/sz159939.csv,.csv,145490,2026-06-21 22:57:10
10_其他可审计文件,mvp_cn/data/processed/sina_unadjusted_close_diagnostic.csv,.csv,152375,2026-06-21 22:57:15
10_其他可审计文件,mvp_cn/data/raw/sina/sh512070.csv,.csv,140387,2026-06-21 23:02:04
10_其他可审计文件,mvp_cn/data/raw/yahoo/512070.SS.json,.json,255242,2026-06-21 23:02:06
10_其他可审计文件,mvp_cn/data/processed/adjusted_close.csv,.csv,375861,2026-06-21 23:02:44
01_基线MVP,mvp/data/processed/adjusted_close.csv,.csv,1056072,2026-06-21 23:06:02
01_基线MVP,mvp/data/processed/data_quality.json,.json,3025,2026-06-21 23:06:02
01_基线MVP,mvp/data/processed/volume.csv,.csv,535115,2026-06-21 23:06:02
01_基线MVP,mvp/data/processed/monthly_feature_panel.csv,.csv,745233,2026-06-21 23:06:03
01_基线MVP,mvp/outputs/factor_ic.csv,.csv,527,2026-06-21 23:06:04
01_基线MVP,mvp/outputs/factor_ic_monthly.csv,.csv,42262,2026-06-21 23:06:04
01_基线MVP,mvp/outputs/cost_sensitivity.csv,.csv,4246,2026-06-21 23:06:05
01_基线MVP,mvp/outputs/metrics.csv,.csv,2269,2026-06-21 23:06:05
01_基线MVP,mvp/outputs/ridge_training_audit.csv,.csv,30727,2026-06-21 23:06:05
01_基线MVP,mvp/outputs/spec_robustness.csv,.csv,3245,2026-06-21 23:06:07
01_基线MVP,mvp/outputs/composite_target_weights.csv,.csv,22815,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/daily_equity.csv,.csv,353853,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/daily_returns.csv,.csv,402217,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/figures/equity_curves.png,.png,206619,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/figures/equity_curves.svg,.svg,361847,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/overfit_diagnostics.json,.json,1311,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/ridge_target_weights.csv,.csv,17983,2026-06-21 23:06:08
01_基线MVP,mvp/outputs/chart_map.md,.md,372,2026-06-21 23:06:09
01_基线MVP,mvp/outputs/figures/drawdowns.png,.png,298199,2026-06-21 23:06:09
01_基线MVP,mvp/outputs/figures/drawdowns.svg,.svg,284716,2026-06-21 23:06:09
01_基线MVP,mvp/outputs/run_summary.json,.json,301,2026-06-21 23:06:09
01_基线MVP,mvp/outputs/RESULTS.md,.md,4317,2026-06-21 23:06:42
10_其他可审计文件,mvp_cn/outputs/RESULTS.md,.md,5220,2026-06-21 23:07:21
10_其他可审计文件,mvp_cn/config.json,.json,727,2026-06-22 10:15:28
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/metrics.csv,.csv,2874,2026-06-22 10:16:37
04_Day2_因子筛选与正则化,mvp_cn/outputs/LASSO_EXPERIMENT.md,.md,2194,2026-06-22 10:17:31
10_其他可审计文件,mvp_cn/data/raw/sina/sh512800.csv,.csv,118582,2026-06-22 10:40:40
10_其他可审计文件,mvp_cn/data/raw/yahoo/512800.SS.json,.json,248316,2026-06-22 10:40:42
10_其他可审计文件,mvp_cn/data/raw/sina/sh512880.csv,.csv,134016,2026-06-22 10:40:44
10_其他可审计文件,mvp_cn/data/raw/yahoo/512880.SS.json,.json,276756,2026-06-22 10:40:46
10_其他可审计文件,mvp_cn/data/raw/sina/sh512200.csv,.csv,114118,2026-06-22 10:40:48
10_其他可审计文件,mvp_cn/data/raw/yahoo/512200.SS.json,.json,243214,2026-06-22 10:40:50
10_其他可审计文件,mvp_cn/data/raw/sina/sh512660.csv,.csv,131469,2026-06-22 10:40:53
10_其他可审计文件,mvp_cn/data/raw/yahoo/512660.SS.json,.json,274708,2026-06-22 10:40:54
10_其他可审计文件,mvp_cn/data/raw/sina/sh512480.csv,.csv,95237,2026-06-22 10:40:57
10_其他可审计文件,mvp_cn/data/raw/yahoo/512480.SS.json,.json,197677,2026-06-22 10:40:59
10_其他可审计文件,mvp_cn/data/raw/sina/sh515050.csv,.csv,89029,2026-06-22 10:41:01
10_其他可审计文件,mvp_cn/data/raw/yahoo/515050.SS.json,.json,186550,2026-06-22 10:41:03
10_其他可审计文件,mvp_cn/data/raw/sina/sh512980.csv,.csv,110088,2026-06-22 10:41:05
10_其他可审计文件,mvp_cn/data/raw/yahoo/512980.SS.json,.json,234505,2026-06-22 10:41:07
10_其他可审计文件,mvp_cn/data/raw/sina/sh512010.csv,.csv,141042,2026-06-22 10:41:10
10_其他可审计文件,mvp_cn/data/raw/yahoo/512010.SS.json,.json,359524,2026-06-22 10:41:11
10_其他可审计文件,mvp_cn/data/raw/sina/sz159928.csv,.csv,162872,2026-06-22 10:41:14
10_其他可审计文件,mvp_cn/data/raw/yahoo/159928.SZ.json,.json,357018,2026-06-22 10:41:16
