year,left_mode,right_mode,jaccard,left_factors,right_factors
2020,rolling_5y,rolling_8y,1.0,amount_surprise_120|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|mom_21|mom_63|nonzero_return_share_63|range_compression_20|reversal_21|skew_63,amount_surprise_120|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|mom_21|mom_63|nonzero_return_share_63|range_compression_20|reversal_21|skew_63
2020,rolling_5y,expanding,1.0,amount_surprise_120|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|mom_21|mom_63|nonzero_return_share_63|range_compression_20|reversal_21|skew_63,amount_surprise_120|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|mom_21|mom_63|nonzero_return_share_63|range_compression_20|reversal_21|skew_63
2020,rolling_8y,expanding,1.0,amount_surprise_120|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|mom_21|mom_63|nonzero_return_share_63|range_compression_20|reversal_21|skew_63,amount_surprise_120|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|mom_21|mom_63|nonzero_return_share_63|range_compression_20|reversal_21|skew_63
2021,rolling_5y,rolling_8y,0.5909090909090909,amount_acceleration_20_120|amount_surprise_120|distance_ma_20|distance_ma_200|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|low_idio_vol_126|low_vol_21|low_vol_63|mom_21|mom_252|mom_63|nonzero_return_share_63|reversal_5|skew_63|trend_efficiency_63,amount_surprise_120|close_location_20|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|low_idio_vol_126|mom_126|mom_21|mom_252|mom_63|nonzero_return_share_63|range_compression_20|skew_63
2021,rolling_5y,expanding,0.5909090909090909,amount_acceleration_20_120|amount_surprise_120|distance_ma_20|distance_ma_200|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|low_idio_vol_126|low_vol_21|low_vol_63|mom_21|mom_252|mom_63|nonzero_return_share_63|reversal_5|skew_63|trend_efficiency_63,amount_surprise_120|close_location_20|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|low_idio_vol_126|mom_126|mom_21|mom_252|mom_63|nonzero_return_share_63|range_compression_20|skew_63
2021,rolling_8y,expanding,1.0,amount_surprise_120|close_location_20|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|low_idio_vol_126|mom_126|mom_21|mom_252|mom_63|nonzero_return_share_63|range_compression_20|skew_63,amount_surprise_120|close_location_20|distance_ma_20|distance_ma_200|drawdown_resilience_63|gap_return_20|intraday_return_20|low_beta_126|low_downside_vol_63|low_idio_vol_126|mom_126|mom_21|mom_252|mom_63|nonzero_return_share_63|range_compression_20|skew_63
2022,rolling_5y,rolling_8y,0.1,drawdown_resilience_63|gap_return_20|low_beta_126|mom_126|skew_63,amount_surprise_120|distance_ma_20|mom_21|mom_63|reversal_21|skew_63
2022,rolling_5y,expanding,0.1,drawdown_resilience_63|gap_return_20|low_beta_126|mom_126|skew_63,amount_surprise_120|distance_ma_20|mom_21|mom_63|reversal_21|skew_63
2022,rolling_8y,expanding,1.0,amount_surprise_120|distance_ma_20|mom_21|mom_63|reversal_21|skew_63,amount_surprise_120|distance_ma_20|mom_21|mom_63|reversal_21|skew_63
2023,rolling_5y,rolling_8y,0.26666666666666666,amount_acceleration_20_120|distance_ma_20|drawdown_resilience_63|gap_return_20|intraday_return_20|low_vol_63|mom_126|mom_63|nonzero_return_share_63|reversal_5|signed_amount_balance_20|volume_acceleration_20_120,drawdown_resilience_63|gap_return_20|low_vol_63|mom_21|nonzero_return_share_63|reversal_21|skew_63
