U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,model,wall,factor,key
12ETF,w2018,+comm,ElasticNet(a=0.01),12.0,3.0,0.6976858152030614,0.1193606170879129,-0.2604386675819041,0.4583060503117331,0.5888888888888889,76.0,-0.5376151943034048,0.5938590479423518,0.7106384406765113,-0.1107258490790226,1.3480127013460566,v3,ElasticNet,ElasticNet,w2018,+comm,12ETF|w2018|+comm|ElasticNet
12ETF,w18,+comm,Ridge,,,0.5933884893224088,0.1164433716749908,-0.4099089558894442,,,,,,,,,ridge42,Ridge,Ridge,w2018,+comm,12ETF|w2018|+comm|Ridge
12ETF,w2018,+gold,ElasticNet(a=0.01),12.0,3.0,0.6937310899407279,0.120537216951533,-0.2906152457524409,0.4147656350218188,0.5777777777777777,76.0,-0.5376151943034072,0.5938590479423533,0.6937867731595586,-0.1107258490790295,1.335007945227611,v3,ElasticNet,ElasticNet,w2018,+gold,12ETF|w2018|+gold|ElasticNet
12ETF,w18,+gold,Ridge,,,0.5612005524703497,0.1074084163082791,-0.350736784269065,,,,,,,,,ridge42,Ridge,Ridge,w2018,+gold,12ETF|w2018|+gold|Ridge
12ETF,w2018,+margin,ElasticNet(a=0.01),12.0,3.0,0.7005200055530638,0.1202472051814609,-0.2604386675819039,0.4617102609912756,0.5888888888888889,37.0,-0.537615194303403,0.5938590479423476,0.7106384406765127,-0.1107258490790275,1.3530330164147248,v3,ElasticNet,ElasticNet,w2018,+margin,12ETF|w2018|+margin|ElasticNet
12ETF,w18,+margin,Ridge,,,0.6199679343762845,0.1183445378813652,-0.3277908913943609,,,,,,,,,ridge42,Ridge,Ridge,w2018,+margin,12ETF|w2018|+margin|Ridge
12ETF,w2018,+shibor,ElasticNet(a=0.01),12.0,3.0,0.6999456005931006,0.1201292217875753,-0.2604386675819042,0.4612572430313038,0.6,76.0,-0.5376151943034037,0.5938590479423533,0.7106384406765142,-0.1107258490790216,1.3511983862834385,v3,ElasticNet,ElasticNet,w2018,+shibor,12ETF|w2018|+shibor|ElasticNet
12ETF,w18,+shibor,Ridge,,,0.5068529568485679,0.0924033726255035,-0.3804584937708886,,,,,,,,,ridge42,Ridge,Ridge,w2018,+shibor,12ETF|w2018|+shibor|Ridge
12ETF,w2018,base5,ElasticNet(a=0.01),12.0,5.0,0.0732486562108241,-0.0018029191081486,-0.4227132901710742,-0.0042651110103943,0.4777777777777778,86.0,-1.0476481656222387,0.8058587187409277,-1.061562990380552,-0.3406421117630883,1.028679729213536,v3,ElasticNet,ElasticNet,w2018,base5,12ETF|w2018|base5|ElasticNet
12ETF,w18,base5,Ridge,,,0.1739553123485347,0.0151061124112141,-0.4273215380640266,,,,,,,,,ridge42,Ridge,Ridge,w2018,base5,12ETF|w2018|base5|Ridge
