factor,selection_frequency,mean_abs_lasso_coefficient,proposed_selected,strategy,train_mode,review_date,lasso_alpha,fallback_used,effective_update,effective_features
mom_63,1.0,0.17771303897656682,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_126,0.5,0.02240903699408249,False,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_vol_63,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_21,1.0,0.14365237177952822,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
distance_ma_20,1.0,0.05268589084180362,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
distance_ma_200,1.0,0.0863192033012147,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
trend_efficiency_63,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
reversal_5,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
reversal_21,1.0,0.001387113823108528,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_vol_21,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_downside_vol_63,1.0,0.13698593572168347,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
drawdown_resilience_63,1.0,0.04800745504000565,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_beta_126,1.0,0.03418961682303124,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
skew_63,1.0,0.2280719629456079,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
amount_acceleration_20_120,0.5,0.03475034315074025,False,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
amount_surprise_120,1.0,0.02905187168230562,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
nonzero_return_share_63,1.0,0.006202303164222106,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
gap_return_20,1.0,0.13273795645376305,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
intraday_return_20,1.0,0.20371618131792724,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
range_compression_20,1.0,0.03924437247084499,True,stability_lasso_ridge,rolling_5y,2020-06-17,0.02,False,True,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_63,1.0,0.13339506170166643,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_126,0.5,0.019321887762037856,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_252,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_vol_63,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_21,1.0,0.0972341542830076,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
skip_recent_mom_252_21,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
distance_ma_20,1.0,0.03535456000384911,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
distance_ma_200,0.5,0.00955467017081885,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
trend_efficiency_63,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
reversal_5,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
reversal_21,1.0,0.0010886331832952005,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_vol_21,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_downside_vol_63,0.5,0.050207396029617476,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
drawdown_resilience_63,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_beta_126,1.0,0.037518740501332457,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
low_idio_vol_126,0.0,0.0,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
skew_63,1.0,0.18121727769291168,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
amount_acceleration_20_120,0.5,0.011809697966840765,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
amount_surprise_120,1.0,0.024165569717951554,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
